City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saskylakh,RU,2021-12-03 00:16:06,71.9167,114.0833,-44.52,100,62,4.68
1,Carnarvon,AU,2021-12-03 00:16:07,-24.8667,113.6333,73.47,68,90,23.02
2,Gamba,GA,2021-12-03 00:16:07,-2.65,10.0,77.29,86,100,3.0
3,Lamu,KE,2021-12-03 00:14:26,-2.2717,40.902,80.82,81,21,7.54
4,Namatanai,PG,2021-12-03 00:16:08,-3.6667,152.4333,84.33,71,93,4.88
5,Victoria,HK,2021-12-03 00:11:39,22.2855,114.1577,61.32,36,6,1.01
6,Ostrovnoy,RU,2021-12-03 00:16:08,68.0531,39.5131,25.03,73,100,19.26
7,Richards Bay,ZA,2021-12-03 00:16:09,-28.783,32.0377,71.38,91,90,5.7
8,Bhanvad,IN,2021-12-03 00:16:09,21.9264,69.7736,64.0,61,0,8.93
9,Vaini,TO,2021-12-03 00:16:09,-21.2,-175.2,84.36,79,40,11.5
10,Margate,GB,2021-12-03 00:16:10,51.3813,1.3862,35.04,75,51,1.99
11,Rikitea,PF,2021-12-03 00:16:10,-23.1203,-134.9692,76.51,74,1,15.75
12,Busselton,AU,2021-12-03 00:16:11,-33.65,115.3333,63.09,53,0,15.9
13,Kapaa,US,2021-12-03 00:14:29,22.0752,-159.319,80.92,79,40,1.01
14,Saint-Philippe,RE,2021-12-03 00:16:11,-21.3585,55.7679,76.59,87,56,11.36
15,Provideniya,RU,2021-12-03 00:16:11,64.3833,-173.3,17.71,79,90,8.95
16,Tasiilaq,GL,2021-12-03 00:16:12,65.6145,-37.6368,13.69,56,33,6.96
17,Ushuaia,AR,2021-12-03 00:16:12,-54.8,-68.3,47.86,66,40,25.32
18,Qaanaaq,GL,2021-12-03 00:16:13,77.484,-69.3632,12.63,70,100,5.88
19,Port Blair,IN,2021-12-03 00:16:13,11.6667,92.75,79.11,84,87,13.8
20,Mitsamiouli,KM,2021-12-03 00:16:13,-11.3847,43.2844,79.99,77,10,11.59
21,Mataura,NZ,2021-12-03 00:16:13,-46.1927,168.8643,69.48,50,79,2.46
22,Berlevag,NO,2021-12-03 00:16:14,70.8578,29.0864,26.64,68,100,11.81
