City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,75.4,71,100,22.79,overcast clouds
1,Yar-Sale,RU,66.8333,70.8333,-8.81,90,44,9.48,scattered clouds
2,Tuktoyaktuk,CA,69.4541,-133.0374,5.0,78,20,10.36,few clouds
3,Carnarvon,AU,-24.8667,113.6333,71.67,88,90,8.05,overcast clouds
4,Port Alfred,ZA,-33.5906,26.891,67.48,74,74,14.94,broken clouds
5,Vanimo,PG,-2.6741,141.3028,77.76,90,100,6.51,overcast clouds
6,Punta Arenas,CL,-53.15,-70.9167,51.91,46,40,35.68,scattered clouds
7,Yangambi,CD,0.8102,24.4336,71.76,97,100,2.71,overcast clouds
8,Cape Town,ZA,-33.9258,18.4232,65.26,75,20,8.99,few clouds
9,Aklavik,CA,68.2191,-135.0107,11.12,85,75,3.44,broken clouds
10,Yellowknife,CA,62.456,-114.3525,-14.28,84,20,14.97,few clouds
11,Bethel,US,41.3712,-73.414,42.55,45,1,1.99,clear sky
12,Wewak,PG,-3.5534,143.6268,77.77,90,100,6.17,overcast clouds
13,Camacha,PT,33.0833,-16.3333,60.22,55,40,8.05,scattered clouds
14,Bengkulu,ID,-3.8004,102.2655,74.97,87,41,4.34,scattered clouds
15,Yekaterinovka,RU,52.0508,44.3451,31.15,91,100,16.98,overcast clouds
16,Kapaa,US,22.0752,-159.319,78.78,87,75,1.01,light rain
17,Thompson,CA,55.7435,-97.8558,-23.64,76,1,3.44,clear sky
18,Shingu,JP,33.7333,135.9833,50.88,85,8,8.01,clear sky
19,Tarancon,ES,40.0085,-3.0073,49.5,85,100,19.73,overcast clouds
20,Mehamn,NO,71.0357,27.8492,21.38,63,0,29.93,clear sky
21,Hidrolandia,BR,-4.4081,-40.4378,95.13,32,100,9.91,overcast clouds
22,Ushuaia,AR,-54.8,-68.3,49.62,65,75,27.63,light intensity drizzle
23,College,US,64.8569,-147.8028,19.38,83,90,0.0,light snow
24,Norman Wells,CA,65.282,-126.8329,-0.36,71,75,6.91,light snow
25,Ocampo,MX,21.65,-101.5,70.95,23,100,11.36,overcast clouds
26,Haines Junction,CA,60.7522,-137.5108,22.95,80,100,8.05,light snow
27,Kholodnyy,RU,62.7167,147.95,-24.0,98,100,3.8,overcast clouds
28,Puerto Ayora,EC,-0.7393,-90.3518,80.56,77,91,9.44,overcast clouds
29,Windsor,CA,42.3001,-83.0165,25.14,59,40,1.99,scattered clouds
30,Waingapu,ID,-9.6567,120.2641,78.71,88,81,4.36,broken clouds
31,Dikson,RU,73.5069,80.5464,-8.99,95,100,19.44,overcast clouds
32,Kuah,MY,6.3265,99.8432,80.58,74,20,6.91,few clouds
33,Bandarbeyla,SO,9.4942,50.8122,76.77,69,54,18.7,broken clouds
34,Tevriz,RU,57.509,72.4042,-6.43,97,8,4.88,clear sky
35,Butaritari,KI,3.0707,172.7902,82.53,77,83,15.08,broken clouds
36,Kyra,RU,49.5776,111.9753,9.14,88,31,3.06,scattered clouds
37,Puerto Escondido,MX,15.85,-97.0667,85.03,65,1,5.75,clear sky
38,Hun,LY,29.1268,15.9477,52.05,45,0,9.64,clear sky
39,Tyrma,RU,50.0833,132.1667,-2.29,100,100,0.89,overcast clouds
40,Airai,TL,-8.9266,125.4092,60.62,93,53,1.61,broken clouds
41,Lingao,CN,19.9103,109.6859,68.97,86,100,12.06,overcast clouds
